,precision,recall,f1-score,support
Normal/Mild,0.9039571424626516,0.8670604439264714,0.8851244473887003,37754.0
Moderate,0.4054455445544555,0.4115577889447236,0.4084788029925187,7960.0
Severe,0.3984478935698448,0.581741663968922,0.4729569680221082,3089.0
accuracy,0.7747064729627277,0.7747064729627277,0.7747064729627277,0.7747064729627277
macro avg,0.5692835268623173,0.6201199656133723,0.5888534061344424,48803.0
weighted avg,0.7906511901814574,0.7747064729627277,0.7812930297882043,48803.0
